@relation bookkeeper_Train_Release_2

@attribute CyclomaticComplexity numeric
@attribute LineOfCode numeric
@attribute LineOfCodeNoComment numeric
@attribute NR numeric
@attribute Authors numeric
@attribute Age numeric
@attribute Churn numeric
@attribute MeanChurn numeric
@attribute MaxChurn numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute Buggy {false}

@data
8,84,59,3,1,4,84,28,83,9,5,false
2,58,32,2,1,4,58,29,58,5,3,false
9,123,95,3,1,4,123,41,122,7,4,false
12,369,263,0,0,19,369,0,369,0,0,false
17,231,180,4,2,4,231,57,224,12,6,false
39,586,493,3,1,4,586,195,585,59,48,false
29,366,302,4,1,4,366,91,365,24,14,false
7,99,71,3,1,4,99,33,98,9,4,false
2,41,18,0,0,4,41,0,41,0,0,false
1,66,37,1,1,4,66,66,65,13,13,false
1,54,19,2,2,4,54,27,45,1,1,false
1,47,6,1,1,4,47,47,47,4,4,false
8,183,93,3,2,4,187,62,185,20,16,false
4,49,26,0,0,4,49,0,49,0,0,false
1,50,24,0,0,4,50,0,50,0,0,false
7,98,61,1,1,4,98,98,97,2,2,false
5,138,94,0,0,4,138,0,138,0,0,false
1,43,18,0,0,4,43,0,43,0,0,false
1,42,18,0,0,4,42,0,42,0,0,false
5,56,30,0,0,4,56,0,56,0,0,false
9,162,118,1,1,4,162,162,162,1,1,false
461,6367,5842,1,1,4,6367,6367,6095,5855,5855,false
11,153,93,1,1,4,153,153,153,2,2,false
1,43,17,0,0,4,43,0,43,0,0,false
1,41,18,1,1,4,41,41,41,1,1,false
5,105,62,2,1,4,105,52,104,50,48,false
2,105,67,4,2,4,105,26,103,43,39,false
3,92,53,3,2,4,92,30,91,34,31,false
2,101,70,2,1,4,101,50,100,50,48,false
3,45,20,0,0,4,45,0,45,0,0,false
12,289,225,1,1,4,289,289,289,1,1,false
1,32,11,1,1,4,32,32,31,3,3,false
5,111,74,0,0,4,111,0,111,0,0,false
1,35,10,1,1,4,35,35,35,1,1,false
4,81,48,0,0,4,81,0,81,0,0,false
1,27,6,0,0,4,27,0,27,0,0,false
1,28,6,0,0,4,28,0,28,0,0,false
1,29,9,1,1,4,29,29,29,1,1,false
24,566,347,3,2,4,566,188,561,34,32,false
2,64,37,1,1,4,64,64,64,16,16,false
1,29,5,1,1,4,29,29,29,1,1,false
2,64,36,1,1,4,64,64,64,1,1,false
1,37,6,1,1,4,37,37,37,3,3,false
2,68,41,1,1,4,68,68,68,11,11,false
6,154,115,2,1,4,154,77,153,11,9,false
2,72,45,1,1,4,72,72,72,1,1,false
24,385,299,5,2,4,385,77,364,15,8,false
2,76,43,1,1,4,76,76,76,2,2,false
10,159,122,2,1,4,159,79,158,4,2,false
41,737,533,2,1,4,737,368,736,149,144,false
8,74,47,1,1,4,74,74,74,2,2,false
7,94,56,2,1,4,94,47,93,3,2,false
1,22,4,0,0,4,22,0,22,0,0,false
38,427,302,2,1,4,427,213,426,12,10,false
5,62,32,0,0,4,62,0,62,0,0,false
1,58,28,1,1,4,58,58,58,1,1,false
1,91,12,1,1,4,91,91,91,5,5,false
1,27,4,1,1,4,27,27,27,1,1,false
1,77,37,1,1,4,77,77,77,2,2,false
28,704,400,2,1,4,704,352,703,38,36,false
1,63,10,1,1,4,63,63,63,4,4,false
1,37,15,0,0,4,37,0,37,0,0,false
1,64,27,1,1,4,64,64,64,1,1,false
9,124,81,1,1,4,124,124,124,3,3,false
5,160,117,3,1,4,160,53,159,7,3,false
1,36,13,1,1,4,36,36,36,5,5,false
3,58,32,1,1,4,58,58,57,2,2,false
2,62,35,0,0,4,62,0,62,0,0,false
5,130,89,3,1,4,130,43,129,12,8,false
4,74,46,1,1,4,74,74,73,2,2,false
3,83,55,2,1,4,83,41,82,3,2,false
2,74,44,0,0,4,74,0,74,0,0,false
1,48,19,1,1,4,48,48,48,2,2,false
1,60,28,1,1,4,60,60,60,1,1,false
1,70,37,2,1,4,70,35,70,6,4,false
12,183,149,3,1,4,183,61,180,19,12,false
2,53,27,0,0,4,53,0,53,0,0,false
22,452,341,3,2,4,452,150,450,20,17,false
2,39,16,0,0,4,39,0,39,0,0,false
2,78,49,1,1,4,78,78,78,4,4,false
2,64,28,1,1,4,64,64,64,1,1,false
1,31,5,1,1,4,31,31,31,1,1,false
1,57,7,1,1,4,57,57,57,4,4,false
1,104,36,1,1,4,104,104,104,7,7,false
1,32,11,0,0,4,32,0,32,0,0,false
16,227,178,2,1,4,227,113,226,52,50,false
3,197,128,3,2,4,197,65,187,11,6,false
1,75,12,1,1,4,75,75,75,6,6,false
1,28,7,0,0,4,28,0,28,0,0,false
2,52,27,1,1,4,52,52,52,2,2,false
36,429,345,2,1,4,429,214,428,77,75,false
6,103,62,1,1,4,104,104,104,30,30,false
1,35,13,0,0,4,35,0,35,0,0,false
7,98,67,1,1,4,98,98,98,1,1,false
3,79,49,2,1,4,79,39,78,15,13,false
