Classifier,feature selection,underSampling,overSampling,cost sensitive,precision,recall,auc,kappa
nb,false,false,false,true,0.66,0.4125,0.69151863084922,0.4568143650691124
nb,false,false,false,true,0.7662337662337663,0.31382978723404253,0.648828640247749,0.3944296149936826
nb,false,false,false,true,0.75,0.3333333333333333,0.6587788489628981,0.4169276992904171
nb,false,false,false,true,0.6923076923076923,0.3698630136986301,0.6745777536137672,0.4383848277090195
nb,false,false,false,true,0.7209302325581395,0.31958762886597936,0.6489927343249788,0.38686632613723937
rf,false,true,false,false,0.15570175438596492,0.7802197802197802,0.7560016906170752,0.12732615083251717
rf,false,true,false,false,0.17660044150110377,0.8080808080808081,0.7772430184194891,0.15745186811176648
rf,false,true,false,false,0.3625,0.20714285714285716,0.7397771242841665,0.18563321668400687
rf,false,true,false,false,0.36764705882352944,0.3448275862068966,0.7199047437607163,0.25648448808732044
rf,false,true,false,false,0.4266666666666667,0.5245901639344263,0.8155166657881328,0.39319380092666584
rf,false,true,false,false,0.3458333333333333,0.5684931506849316,0.7653996688243263,0.3117178612059156
rf,false,true,false,false,0.44370860927152317,0.46206896551724136,0.7980899256254226,0.37309417040358744
rf,false,true,false,false,0.4277456647398844,0.4277456647398844,0.7498381730015785,0.3304961558990201
rf,false,true,false,false,0.5208333333333334,0.423728813559322,0.7744118193151376,0.389190868147228
rf,false,true,false,false,0.42011834319526625,0.461038961038961,0.8222780292578361,0.3598432110550977
rf,false,true,false,false,0.325,0.65,0.8260858968804159,0.32350090854027874
rf,false,true,false,false,0.4451219512195122,0.3882978723404255,0.7770736556364818,0.3237090197028425
rf,false,true,false,false,0.4539877300613497,0.4567901234567901,0.7610770279481935,0.37778790977248855
rf,false,true,false,false,0.35267857142857145,0.541095890410959,0.7924905740659757,0.33724924660192307
rf,false,true,false,false,0.44871794871794873,0.5412371134020618,0.8113661881652082,0.3917878857846533
ibk,false,true,false,false,0.13346228239845262,0.7582417582417582,0.6329670329670329,0.08560311284046696
ibk,false,true,false,false,0.17777777777777778,0.6464646464646465,0.6683465672770486,0.15142093492608968
ibk,false,true,false,false,0.3218390804597701,0.2,0.5664293453025847,0.16210859173692369
ibk,false,true,false,false,0.3490566037735849,0.25517241379310346,0.6013983615926843,0.20170954855891038
ibk,false,true,false,false,0.3333333333333333,0.4180327868852459,0.6556015321631262,0.2780061156756714
ibk,false,true,false,false,0.2788104089219331,0.5136986301369864,0.6565632997139846,0.2220010453387898
ibk,false,true,false,false,0.31794871794871793,0.42758620689655175,0.646791751183232,0.25890148726255346
ibk,false,true,false,false,0.37894736842105264,0.4161849710982659,0.6526908706860329,0.28850523605197065
