@relation openjpa_Train_Release_6

@attribute CyclomaticComplexity numeric
@attribute LineOfCode numeric
@attribute LineOfCodeNoComment numeric
@attribute NR numeric
@attribute Authors numeric
@attribute Age numeric
@attribute Churn numeric
@attribute MeanChurn numeric
@attribute MaxChurn numeric
@attribute LocAdded numeric
@attribute MaxLocAdded numeric
@attribute Buggy {false,true}

@data
24,411,257,2,2,37,411,205,383,4,4,false
16,173,109,1,1,37,173,173,173,0,0,false
1,69,18,2,2,37,69,34,69,2,2,false
1,82,19,2,2,37,82,41,82,2,2,false
55,1010,679,2,2,37,1016,508,1013,21,21,false
25,329,211,1,1,37,329,329,329,0,0,false
1,244,65,2,2,37,246,123,245,10,10,false
2,84,39,1,1,37,84,84,84,0,0,false
1,43,9,1,1,37,43,43,43,0,0,false
2,69,37,1,1,37,69,69,69,0,0,false
2,64,33,1,1,37,64,64,64,0,0,false
7,161,123,2,2,37,161,80,161,6,6,false
1,86,20,1,1,37,86,86,86,0,0,false
1,304,52,1,1,37,304,304,304,0,0,false
47,703,434,1,1,37,703,703,703,0,0,false
247,1749,1257,3,1,37,1751,583,1748,8,7,false
139,1179,852,4,2,37,1181,295,1135,28,24,false
5,68,35,1,1,37,68,68,68,0,0,false
95,1122,697,6,3,37,1138,189,1104,84,43,false
9,139,89,1,1,37,139,139,139,0,0,false
1,163,109,1,1,37,163,163,163,0,0,false
1,60,28,1,1,37,60,60,60,0,0,false
30,231,145,1,1,37,231,231,231,0,0,false
42,606,376,2,1,37,610,305,608,2,2,false
13,135,91,1,1,37,135,135,135,0,0,false
1,34,6,1,1,37,35,35,35,0,0,false
1,160,23,1,1,37,160,160,160,0,0,false
215,2053,1399,2,2,37,2053,1026,2053,3,3,false
8,93,56,1,1,37,93,93,93,0,0,false
1,149,67,1,1,37,149,149,149,0,0,false
1,131,26,1,1,37,131,131,131,0,0,false
1,67,17,1,1,37,67,67,67,0,0,false
1,99,21,2,2,37,99,49,99,2,2,false
1,265,57,2,2,37,265,132,265,4,4,false
75,534,421,2,1,37,538,269,536,3,3,false
26,318,212,1,1,37,318,318,318,0,0,false
20,365,234,1,1,37,365,365,365,0,0,false
